time;model_id;model_name;port_name;data
0;1;iestream;;1
0;3;table;;
0;4;bar;;
0;5;lobby;;
1;1;iestream;out;3
1;1;iestream;;3
1;5;lobby;;
4;1;iestream;out;-1792215824
4;1;iestream;;inf
4;5;lobby;;
4;1;iestream;;inf
4;3;table;;
4;4;bar;;
4;5;lobby;;
